Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
6/8/2025,,104,12.0,,BF,,65524822
6/8/2025,B,134,36.0,-2,BF,2.0,65524822
6/8/2025,,132,12.0,,BF,,65524822
6/8/2025,B,160,6.0,,BF,,65524822
6/8/2025,,141,,,BF,,65524822
6/8/2025,B/2,135,29.0,1,AF,1.0,65524822
6/8/2025,,133,29.0,,AF,,65524822
6/8/2025,B,130,31.0,1,AF,0.0,65524822
6/8/2025,,121,36.0,0,AF,0.0,65524822
6/8/2025,,122,36.0,-3,AF,0.0,65524822
6/8/2025,,128,34.0,-3,AF,0.0,65524822
6/8/2025,,140,28.0,-3,AF,0.0,65524822
6/8/2025,,158,20.0,-4,AF,1.0,65524822
6/8/2025,B,154,21.0,,AF,,65524822
6/10/2025,F,136,21.0,-4,AF,0.0,65524822
6/10/2025,,158,14.0,1,AF,0.0,65524822
6/10/2025,,130,12.0,,AF,,65524822
6/10/2025,,114,18.0,,BF,,65524822
6/10/2025,B,153,12.0,,AF,,65524822
6/10/2025,,122,36.0,-1,AF,0.0,65524822
6/11/2025,F,126,36.0,-1,BF,,65524822
6/11/2025,,135,30.0,,BF,4.0,65524822
6/11/2025,B,138,24.0,,BF,,65524822
6/11/2025,,153,15.0,4,AF,,65524822
6/11/2025,,125,36.0,0,BF,,65524822
6/11/2025,,135,24.0,,,,65524822
6/11/2025,B,138,12.0,,BF,4.0,65524822
6/11/2025,,138,12.0,,BF,,65524822
6/11/2025,,150,12.0,,BF,,65524822
6/11/2025,,128,18.0,,BF,,65524822
6/11/2025,,134,18.0,,BF,,65524822
6/11/2025,B,128,36.0,,BF,3.0,65524822
6/11/2025,,139,27.0,,BF,4.0,65524822
6/11/2025,B,139,30.0,3,BF,2.0,65524822
6/11/2025,,131,24.0,,AF,0.0,65524822
6/12/2025,F,158,22.0,3,AF,0.0,65524822
6/12/2025,B,144,29.0,,AF,,65524822
6/13/2025,F,149,6.0,,AF,,65524822
